date,close_price
2021-10-25,31.59
2021-10-26,32.28
2021-10-27,33.2
2021-10-28,33.25
2021-10-29,32.74
2021-11-01,31.93
2021-11-02,31.82
2021-11-03,31.88
2021-11-04,32.28
2021-11-05,32.45
2021-11-08,32.56
2021-11-09,32.39
2021-11-10,31.7
2021-11-11,30.96
2021-11-12,31.3
2021-11-15,30.73
2021-11-16,29.81
2021-11-17,29.47
2021-11-18,28.64
2021-11-19,27.52
2021-11-22,27.89
2021-11-23,28.41
2021-11-24,27.89
2021-11-25,28.24
2021-11-26,28.12
2021-11-29,27.75
2021-11-30,28.06
2021-12-01,28.09
2021-12-02,27.86
2021-12-03,27.35
2021-12-06,26.23
2021-12-07,27.29
2021-12-08,27.06
2021-12-09,27.0
2021-12-10,26.66
2021-12-13,26.69
2021-12-14,27.35
2021-12-15,27.4
2021-12-16,27.23
2021-12-17,26.77
2021-12-20,26.89
2021-12-21,26.43
2021-12-22,25.86
2021-12-23,25.77
2021-12-24,26.4
2021-12-27,26.32
2021-12-28,26.26
2021-12-29,26.26
2021-12-30,26.2
2021-12-31,26.6
2022-01-04,26.8
2022-01-05,26.83
2022-01-06,26.43
2022-01-07,26.26
2022-01-10,26.17
2022-01-11,25.86
2022-01-12,26.49
2022-01-13,26.77
2022-01-14,26.52
2022-01-17,25.63
2022-01-18,25.23
2022-01-19,24.94
2022-01-20,25.23
2022-01-21,24.82
2022-01-24,23.33
2022-01-25,24.8
2022-01-26,24.91
2022-01-27,24.17
2022-01-28,24.19
2022-02-07,24.68
2022-02-08,26.11
2022-02-09,27.12
2022-02-10,26.95
2022-02-11,27.03
2022-02-14,26.49
2022-02-15,26.37
2022-02-16,26.37
2022-02-17,26.66
2022-02-18,26.97
2022-02-21,26.75
2022-02-22,26.6
2022-02-23,26.77
2022-02-24,26.37
2022-02-25,26.32
2022-02-28,27.06
2022-03-01,26.89
2022-03-02,26.89
2022-03-03,28.72
2022-03-04,28.55
2022-03-07,29.3
2022-03-08,28.35
2022-03-09,28.58
2022-03-10,28.18
2022-03-11,27.29
2022-03-14,26.26
2022-03-15,26.46
2022-03-16,26.49
2022-03-17,26.34
2022-03-18,26.66
2022-03-21,26.86
2022-03-22,26.89
2022-03-23,26.83
2022-03-24,26.6
2022-03-25,26.6
2022-03-28,26.32
2022-03-29,26.29
2022-03-30,26.09
2022-03-31,25.86
2022-04-01,26.2
2022-04-04,26.29
2022-04-05,26.43
2022-04-06,27.09
2022-04-07,26.69
2022-04-08,26.6
2022-04-12,25.86
2022-04-13,25.91
2022-04-14,25.74
2022-04-15,25.34
2022-04-18,24.45
2022-04-19,24.82
2022-04-20,24.77
2022-04-21,24.85
2022-04-22,25.11
2022-04-25,23.36
2022-04-26,23.62
2022-04-27,24.37
2022-04-28,24.71
2022-04-29,24.82
2022-05-04,24.08
2022-05-05,24.11
2022-05-06,23.96
2022-05-09,22.9
2022-05-10,23.56
2022-05-11,23.31
2022-05-12,21.93
2022-05-13,20.58
2022-05-16,20.81
2022-05-17,21.9
2022-05-18,21.9
2022-05-19,21.73
2022-05-20,21.59
2022-05-23,21.07
2022-05-24,20.01
2022-05-25,19.75
2022-05-26,20.07
2022-05-27,20.32
2022-05-30,20.32
2022-05-31,19.89
2022-06-01,19.69
2022-06-02,19.01
2022-06-03,19.15
2022-06-06,19.09
2022-06-07,19.03
2022-06-08,18.86
2022-06-09,19.38
2022-06-10,19.26
2022-06-13,18.23
2022-06-14,17.37
2022-06-15,16.86
2022-06-16,17.77
2022-06-17,17.58
2022-06-20,16.36
2022-06-21,15.76
2022-06-22,16.29
2022-06-23,16.51
2022-06-24,16.51
2022-06-27,17.35
2022-06-28,17.04
2022-06-29,17.23
2022-06-30,16.89
2022-07-01,16.97
2022-07-04,16.67
2022-07-05,16.59
2022-07-06,16.25
2022-07-07,16.48
2022-07-08,17.01
2022-07-11,16.7
2022-07-12,16.89
2022-07-13,16.89
2022-07-14,16.82
2022-07-15,17.58
2022-07-18,17.12
2022-07-19,16.78
2022-07-20,16.93
2022-07-21,17.2
2022-07-22,16.82
2022-07-25,16.59
2022-07-26,16.4
2022-07-27,16.1
2022-07-28,16.21
2022-07-29,16.29
2022-08-01,17.27
2022-08-02,17.35
2022-08-03,17.99
2022-08-04,17.92
2022-08-05,17.65
2022-08-08,17.88
2022-08-09,18.26
2022-08-10,18.03
2022-08-11,17.73
2022-08-12,18.14
2022-08-15,18.18
2022-08-16,18.6
2022-08-17,18.41
2022-08-18,18.29
2022-08-19,17.99
2022-08-22,17.69
2022-08-23,17.92
2022-08-24,17.8
2022-08-25,18.07
2022-08-26,17.8
2022-08-29,17.42
2022-08-30,17.46
2022-08-31,17.42
2022-09-05,18.11
2022-09-06,17.84
2022-09-07,17.42
2022-09-08,17.5
2022-09-09,18.03
2022-09-12,18.03
2022-09-13,17.95
2022-09-14,17.95
2022-09-15,17.88
2022-09-16,17.42
2022-09-19,17.16
2022-09-20,17.42
2022-09-21,17.35
2022-09-22,17.42
2022-09-23,17.2
2022-09-26,16.97
2022-09-27,16.97
2022-09-28,16.51
2022-09-29,16.4
2022-09-30,16.06
2022-10-03,14.96
2022-10-04,14.28
2022-10-05,14.55
2022-10-06,13.64
2022-10-07,13.33
2022-10-10,13.9
2022-10-11,13.26
2022-10-12,14.17
2022-10-13,14.77
2022-10-14,14.73
2022-10-17,14.58
2022-10-18,14.28
2022-10-19,13.94
2022-10-20,13.71
2022-10-21,12.8
2022-10-24,12.42
2022-10-25,12.95
2022-10-26,12.8
2022-10-27,13.18
2022-10-28,12.73
2022-10-31,11.86
2022-11-01,11.36
2022-11-02,11.63
2022-11-03,11.51
2022-11-04,11.1
2022-11-07,10.38
2022-11-08,9.96
2022-11-09,9.85
2022-11-10,9.17
2022-11-11,9.32
2022-11-14,9.24
2022-11-15,9.47
2022-11-16,10.11
2022-11-17,10.8
2022-11-18,11.44
2022-11-21,11.33
2022-11-22,11.21
2022-11-23,10.45
2022-11-24,10.87
2022-11-25,11.59
2022-11-28,12.39
2022-11-29,13.18
2022-11-30,13.94
2022-12-01,13.79
2022-12-02,14.73
2022-12-05,15.15
2022-12-06,14.09
2022-12-07,13.83
2022-12-08,14.32
2022-12-09,14.55
2022-12-12,14.09
