ticker,industry,ROA,DE,BV,EPS,PB,Market_Cap
A32,Hàng cá nhân,0.079184371,1.242533298,221000000000.0,5774.870518,1.073152761,225080000000.0
AAA,Hóa chất,0.023226092,1.207763111,6240000000000.0,812.1593527,0.508888228,3173566403800.0005
AAH,Khai khoáng,0.00820843,0.221614586,1190000000000.0,101.3104582,0.346424074,424440000000.0
AAM,Sản xuất thực phẩm,-0.031112345,0.030626165,196000000000.0,-509.9201486,0.418170487,82103633150.0
AAS,Dịch vụ tài chính,0.014570496,1.027606941,2490000000000.0,320.2676667,0.867107313,2368995066300.0
AAT,Hàng cá nhân,-0.006228946,0.83937472,725000000000.0,-117.3564894,0.317293395,230162084750.0
AAV,Bất động sản,-0.01686986,0.218906272,766000000000.0,-228.3823456,0.549223496,413925966000.0
ABB,Ngân hàng,0.003313597,11.60055545,14000000000000.0,565.7344951,1.166094574,16353580839600.0
ABC,Viễn thông di động,0.007830562,0.828079775,491000000000.0,344.572397,0.477755209,240637400000.0
ABI,Bảo hiểm phi nhân thọ,0.04716621,1.81690495,1540000000000.0,2019.949977,1.335237741,2047222166400.0
ABR,Tư vấn & Hỗ trợ Kinh doanh,0.055633981,0.199087327,296000000000.0,986.8951591,0.844947933,250000000000.0
ABS,Hóa chất,0.002431534,0.092957959,916000000000.0,30.44235099,0.261894765,240000000000.0
ABT,Sản xuất thực phẩm,0.131148383,0.375497749,563000000000.0,7054.106677,1.767090725,994156003700.0
ABW,Dịch vụ tài chính,0.030442993,1.36103234,1440000000000.0,1020.297125,0.796051327,1183455000000.0
ACB,Ngân hàng,0.019432474,9.352124756,83500000000000.0,3268.617957,1.56939983,130984743274500.0
ACE,Xây dựng và Vật liệu,0.082560775,1.583523958,71576759939.0,5004.345136,1.854079084,125387099100.0
ACG,Lâm nghiệp và Giấy,0.074467908,0.350477882,4180000000000.0,2785.182748,1.321551277,5518838823600.0
ACL,Sản xuất thực phẩm,0.006469557,1.054537492,810000000000.0,214.6222832,0.823693133,667114952700.0
ACM,Khai khoáng,-0.018464992,0.604761143,333000000000.0,-193.3763318,0.07661719,25500000000.0
ACS,Xây dựng và Vật liệu,2.49e-06,4.167725811,72430707450.0,0.172893519,0.298216057,24840000000.0
ACV,Vận tải,0.151090523,0.287159705,60000000000000.0,3259.0197,3.305920751,204938878315600.0
ADC,Truyền thông,0.079841509,1.102268957,83181898715.0,3509.84593,0.8847095,73591816000.0
ADG,Truyền thông,0.042360686,0.282600193,387000000000.0,983.6228071,0.508175263,196700793200.0
ADP,Xây dựng và Vật liệu,0.240057953,0.304827464,272000000000.0,3702.887953,1.945612968,529916550000.0
AG1,Hàng cá nhân,0.056954344,1.661730807,56932711256.0,1774.655704,1.05070787,59819647800.0
AGG,Bất động sản,0.037098216,1.242679409,3140000000000.0,1605.900347,0.756405158,2372909982600.0
AGP,Dược phẩm,0.044677586,1.736659105,400000000000.0,1836.905746,2.45612176,971457282000.0
AGX,Phân phối thực phẩm & dược phẩm,0.286877712,0.130462848,1060000000000.0,31909.99596,1.534628645,1630800000000.0
AIC,Bảo hiểm phi nhân thọ,0.002254724,3.616007875,1110000000000.0,115.3262204,0.803196477,1000000000000.0
AIG,Sản xuất thực phẩm,0.079323276,0.753472972,6010000000000.0,4902.012718,1.276843874,7591757761000.0
ALT,Truyền thông,0.008835512,0.666851568,215000000000.0,512.7048469,0.410768631,88267078900.0
ALV,Xây dựng và Vật liệu,0.091802096,0.373905495,97580723391.0,1279.595061,0.66040706,63481162800.0
AMC,Khai khoáng,0.060611295,0.930283265,52881314110.0,2170.860842,0.700625554,37050000000.0
AME,Điện tử & Thiết bị điện,0.007152118,2.64524685,871000000000.0,348.2466815,0.52404993,456400000000.0
AMP,Dược phẩm,0.003055576,4.9530332,201000000000.0,280.9758154,1.003446476,201500000000.0
AMV,Thiết bị và Dịch vụ Y tế,-0.006680777,0.169145193,1670000000000.0,-99.65396845,0.156758392,262211300000.0
ANT,Sản xuất thực phẩm,0.060229011,3.053170413,302000000000.0,3070.090928,3.180602138,957747949200.0
ANV,Sản xuất thực phẩm,0.009837415,0.738578057,2800000000000.0,179.3700906,2.402844722,6720021000000.0
APC,Dược phẩm,-0.025620326,0.42895693,570000000000.0,-1036.70142,0.233074106,126764788500.0
APF,Sản xuất thực phẩm,0.045748964,1.970237893,1150000000000.0,4764.791978,1.163559816,1332816697300.0
APH,Hàng công nghiệp,0.023025017,1.271335205,5920000000000.0,1269.322996,0.269867344,1597441955400.0
API,Bất động sản,-0.010212844,1.38590282,909000000000.0,-263.5176247,0.610286445,563362639200.0
APL,Công nghiệp nặng,0.014436694,7.355086613,16642737437.0,1672.870093,0.771507695,12840000000.0
APP,Hóa chất,-0.105287269,0.424012266,39243929934.0,-1245.357663,0.601957043,23623160000.0
APS,Dịch vụ tài chính,0.026722832,0.015059113,803000000000.0,262.4438737,0.754501725,639100000000.0
ARM,Tư vấn & Hỗ trợ Kinh doanh,0.027698981,3.465477115,38579395710.0,1533.725222,2.040349737,78715459900.0
ART,Dịch vụ tài chính,-0.153726513,0.036744817,132000000000.0,-216.2971853,0.957884471,125999261700.0
ASG,Vận tải,0.016351676,0.60973258,2030000000000.0,589.1372526,0.755068301,1534260906100.0
ASM,Sản xuất thực phẩm,0.010981188,1.826014467,8090000000000.0,616.3807061,0.326752831,2642690247670.0
ASP,Nước & Khí đốt,0.003421764,4.080865236,307000000000.0,142.9862783,0.600648353,184459249260.0
AST,Bán lẻ,0.237177448,0.380043296,618000000000.0,4497.307498,5.436684399,3361500000000.0
ATB,Hàng công nghiệp,-0.033578282,2.804412013,30871102560.0,-284.0426464,0.26984459,8330400000.0
ATG,Khai khoáng,0.037632932,50.8622599,164970538.0,21.15491216,848.7818595,140024000000.0
ATS,Du lịch & Giải trí,0.004108314,0.108176919,43652890545.0,56.78291886,2.148769505,84700000000.0
AVC,Sản xuất & Phân phối Điện,0.235617244,0.162198143,1090000000000.0,3960.108471,3.595700504,3887696293600.0
AVG,Hóa chất,0.031702772,0.779459157,227000000000.0,724.0845449,0.771313926,176799820000.0
BAF,Sản xuất thực phẩm,0.042815818,1.5373502,2940000000000.0,1049.057929,3.940395797,11568023478100.0
BAX,Xây dựng và Vật liệu,0.036694337,2.442016835,210000000000.0,3241.309538,1.305378146,274700000000.0
BBC,Sản xuất thực phẩm,0.053037171,0.464428989,1500000000000.0,6195.200236,1.115792218,1668989143000.0
BBH,Hàng công nghiệp,0.00576421,0.271436541,74930967637.0,268.1515202,0.377166644,28261461600.0
BBM,Bia và đồ uống,0.019050176,0.384488657,24286120073.0,320.2701995,0.807045339,19600000000.0
BBS,Hàng công nghiệp,0.021247663,1.70153257,108000000000.0,1031.597598,0.684409702,73800000000.0
BBT,Hàng cá nhân,0.064263006,1.107952988,154000000000.0,1063.353391,1.643365049,245000000000.0
BCA,Kim loại,-0.012800914,6.836783069,500000000000.0,-1002.406629,1.280987399,670000000000.0
BCB,Khai khoáng,0.070284405,2.64372687,78199821641.0,3513.465508,0.116624307,9120000000.0
BCC,Xây dựng và Vật liệu,-0.002383511,0.920527533,1780000000000.0,-66.01281154,0.53394956,948715552400.0
BCE,Xây dựng và Vật liệu,0.104580816,0.84851241,386000000000.0,2130.952214,0.984306664,379750000000.0
BCF,Sản xuất thực phẩm,0.159671232,0.635490284,395000000000.0,2719.641565,3.984841693,1571741478000.0
BCG,Dịch vụ tài chính,0.018158862,1.174606024,21400000000000.0,959.7679449,0.104093471,2226932929320.0
BCM,Bất động sản,0.040745417,1.842506326,20700000000000.0,2314.054581,3.503520389,72450000000000.0
BCP,Dược phẩm,0.003104975,2.190103761,34824661538.0,57.49082783,1.998583674,69600000000.0
BCR,Xây dựng và Vật liệu,0.019435708,1.156355233,6180000000000.0,546.365869,0.122731798,758079860800.0
BCV,Du lịch & Giải trí,0.016285947,0.43916246,14982408814.0,195.0886372,2.583029237,38700000000.0
BDG,Hàng cá nhân,0.155068132,0.736830613,652000000000.0,7082.02727,1.559215998,1016796720000.0
BDT,Xây dựng và Vật liệu,-0.012635233,1.030996008,546000000000.0,-363.1844947,0.685388407,378280000000.0
BDW,Nước & Khí đốt,0.078298252,0.779568018,258000000000.0,2893.010298,1.348573771,347502400000.0
BED,Truyền thông,0.138093225,0.246347464,43534903161.0,2497.62846,1.777883821,77400000000.0
BEL,Hàng hóa giải trí,0.036197071,0.11327821,63169842152.0,424.263514,1.54820713,97800000000.0
BFC,Hóa chất,0.129866618,1.159877649,1520000000000.0,7444.978372,1.740624999,2641161276600.0
BGE,Sản xuất & Phân phối Điện,-0.041757806,1.047437105,8960000000000.0,-1049.341913,0.374790916,3358000000000.0
BGW,Nước & Khí đốt,0.04987943,0.194998535,193000000000.0,632.953717,1.892835854,364803864600.0
BHA,Sản xuất & Phân phối Điện,0.106218678,0.561563294,986000000000.0,2478.835062,1.733056086,1709400000000.0
BHG,Bia và đồ uống,0.005894518,0.639193761,95232720429.0,102.9767035,1.032125015,98292073000.0
BHI,Bảo hiểm phi nhân thọ,0.002090261,3.070756122,1220000000000.0,104.0373128,0.605226773,740000000000.0
BHK,Bia và đồ uống,0.045231623,1.028892665,49999784273.0,1151.150424,0.79720344,39860000000.0
BHN,Bia và đồ uống,0.053881972,0.3784042,5270000000000.0,1687.402992,1.417284799,7463960000000.001
BHP,Bia và đồ uống,0.008776807,0.270225198,154000000000.0,187.6321693,0.415918302,64255030000.0
BIC,Bảo hiểm phi nhân thọ,0.057445111,1.930858789,2960000000000.0,2468.815743,1.619656441,4799092603750.0
BID,Ngân hàng,0.009274164,18.05162273,145000000000000.0,3646.59126,2.38630473,345802074412250.0
BIG,Sản xuất thực phẩm,0.027308266,1.201994648,163000000000.0,613.1808564,0.519753792,87942415000.0
BIO,Dược phẩm,0.070967613,0.122868538,99533678100.0,926.3688444,1.075264192,107881200000.0
BKC,Khai khoáng,0.121175977,0.822031364,235000000000.0,2209.499226,2.568098319,600971673600.0
BKG,Hàng gia dụng,0.018663352,0.059536943,752000000000.0,207.6454741,0.273316083,205517887400.0
BLF,Sản xuất thực phẩm,0.000271719,4.020970687,116000000000.0,13.80433991,0.286608868,33350000000.0
BLI,Bảo hiểm phi nhân thọ,0.025074071,1.861037776,900000000000.0,1076.343538,0.613176314,540000000000.0
BLN,Du lịch & Giải trí,0.007084973,1.690213648,54379472992.0,207.2955342,0.83671278,45500000000.0
BLT,Sản xuất thực phẩm,0.057353455,0.332610189,74595043884.0,1425.321049,1.233325905,96000000000.0
BMC,Khai khoáng,0.099369434,0.085503732,237000000000.0,2061.018431,0.8504634,201380237500.0
BMD,Tư vấn & Hỗ trợ Kinh doanh,0.072411294,0.968970991,36499328868.0,1890.079742,0.754337158,27532800000.0
BMF,Nước & Khí đốt,0.02252385,2.980107107,180000000000.0,1018.608963,0.712877513,129954116600.0
BMG,Hàng cá nhân,0.073590368,0.551563282,115000000000.0,2481.753792,0.786733932,90493200000.0
