ticker,industry,Rank_in_Industry,Score_industry,Score_global,ROA,DE,BV,PB,EPS,Market_Cap
HLB,Bia và đồ uống,1,1.0,0.567587161336719,0.156281334,0.577326103,547000000000.0,1.977494779,43629.60692,1081500000000.0
CFV,Bia và đồ uống,2,0.3660058544646618,0.2629183631871229,0.193482646,0.307504295,186000000000.0,0.997228045,5809.331241,178112000000.0
SMB,Bia và đồ uống,3,0.34475231619195895,0.2527048777668386,0.171675285,0.734742715,599000000000.0,1.937037692,5980.732519,1178942596000.0
VCF,Bia và đồ uống,4,0.3047831087609954,0.2334974915839565,0.179401027,0.313363939,1890000000000.0,4.096125183,16796.53287,8133215310000.0
SAB,Bia và đồ uống,5,0.255361505249464,0.20974771305600187,0.134415467,0.368387235,24400000000000.0,2.569103765,3504.526193,60280431484000.0
TAN,Bia và đồ uống,6,0.24125889519500304,0.20297063903044127,0.171361618,0.33824158,22030243775.0,3.200974702,3130.741917,71002360000.0
HAT,Bia và đồ uống,7,0.23759413406499122,0.20120952123960856,0.087101353,1.794218704,77085041441.0,1.336951996,6007.356705,103059000000.0
IFS,Bia và đồ uống,8,0.22071994816241233,0.1931005537122341,0.117130541,0.210681377,1220000000000.0,1.486369858,1984.433065,1812532467200.0
BSH,Bia và đồ uống,9,0.20919559912126434,0.18756247485685565,0.103634624,0.288139475,307000000000.0,0.984755061,2277.449875,302400000000.0
QHW,Bia và đồ uống,10,0.20760165935160702,0.18679649978064372,0.120730049,0.119382598,272000000000.0,1.012939005,4602.880809,276000000000.0
SKV,Bia và đồ uống,11,0.2054789380746094,0.18577641632273834,0.075832478,1.173951537,379000000000.0,1.616051844,2713.510173,611800000000.0
WSB,Bia và đồ uống,12,0.1970404700634882,0.18172127176773425,0.089371242,0.202775,768000000000.0,1.089634694,5692.159715,812000000000.0
SKH,Bia và đồ uống,13,0.1894177603371976,0.1780581436027396,0.068746163,1.004304853,408000000000.0,1.070219339,3489.062394,437034654000.0
BSQ,Bia và đồ uống,14,0.181780848217413,0.17438819041232934,0.075158039,0.590242167,837000000000.0,1.150623661,2222.896182,963000000000.0
NAF,Bia và đồ uống,15,0.17649646186027443,0.17184875428074162,0.057360456,1.059870739,985000000000.0,2.338568117,1902.249667,2352449976300.0
BSL,Bia và đồ uống,16,0.16716747640265958,0.16736566747727183,0.062932492,0.26197788,508000000000.0,0.973959554,896.9710725,441000000000.0
BHK,Bia và đồ uống,17,0.1668774250911845,0.16722628198753012,0.045231623,1.028892665,49999784273.0,0.79720344,1151.150424,39860000000.0
SB1,Bia và đồ uống,18,0.15550692332576968,0.16176213514702317,0.055364525,0.479733802,135000000000.0,0.483964891,1049.525524,65100000000.0
BHN,Bia và đồ uống,19,0.15425991791022658,0.16116288096791917,0.053881972,0.3784042,5270000000000.0,1.417284799,1687.402992,7463960000000.001
SKN,Bia và đồ uống,20,0.15260494980650366,0.16036757844550953,0.0529128,0.252066312,56435837951.0,0.708769489,747.7786218,40000000000.0
BSD,Bia và đồ uống,21,0.13561572318760226,0.15220332757360097,0.037912956,0.851929187,68371083297.0,1.009198577,1600.159341,69000000000.0
BSP,Bia và đồ uống,22,0.12681948196577508,0.14797625345917817,0.019884778,0.735076995,191000000000.0,0.699986444,527.3921267,133750000000.0
THB,Bia và đồ uống,23,0.12466980619105568,0.14694321689360856,0.013612431,0.897361828,148000000000.0,0.712207193,333.6317003,105106044000.0
BBM,Bia và đồ uống,24,0.12466342854739605,0.14694015208765968,0.019050176,0.384488657,24286120073.0,0.807045339,320.2701995,19600000000.0
BHP,Bia và đồ uống,25,0.11664294317243601,0.14308587100797848,0.008776807,0.270225198,154000000000.0,0.415918302,187.6321693,64255030000.0
SBL,Bia và đồ uống,26,0.10957812157402186,0.1396908385448433,0.007523246,0.397855912,184000000000.0,0.424281123,161.1117891,78078000000.0
BHG,Bia và đồ uống,27,0.10863786376901222,0.13923899333866843,0.005894518,0.639193761,95232720429.0,1.032125015,102.9767035,98292073000.0
HKT,Bia và đồ uống,28,0.10591558804548834,0.13793079123813087,0.002838802,0.270035922,70883185394.0,0.856857473,41.65601548,60736787100.0
CTP,Bia và đồ uống,29,0.10586798978438866,0.13790791767517233,0.002642689,0.046055718,149000000000.0,0.545862831,33.93064814,82279945600.0
PCF,Bia và đồ uống,30,0.10576895677539697,0.13786032690790875,0.002474159,0.15127996,21283508820.0,0.817534371,20.20833833,17100000000.0
BQB,Bia và đồ uống,31,0.10518004933598528,0.1375773247334401,0.000466483,0.602416054,26776849387.0,0.888080582,3.450979655,24360000000.0
BTB,Bia và đồ uống,32,0.10518004933598528,0.1375773247334401,0.000183175,0.443876347,114000000000.0,0.329639927,3.931456701,36917884800.0
HBH,Bia và đồ uống,33,0.10518004933598528,0.1375773247334401,0.000532727,0.732698278,170000000000.0,0.470943711,9.800055625,83200000000.0
HNR,Bia và đồ uống,34,0.07589070880410632,0.12350219763442427,-0.022769986,0.066255172,347000000000.0,0.6909099,-421.6807265,240000000000.0
VDL,Bia và đồ uống,35,0.0673800888273027,0.11941238012096558,-0.052678971,0.061231046,171000000000.0,0.771648485,-652.0339872,131914350000.0
SBB,Bia và đồ uống,36,0.0243604590370861,0.0987390994647875,-0.14557599,0.858880783,1130000000000.0,1.273996414,-3504.749875,1435402390400.0
CPA,Bia và đồ uống,37,0.008880563837868624,0.09130016473796136,-0.160843054,1.530837039,40868189201.0,3.931427723,-704.085027,165395930000.0
FGL,Bia và đồ uống,38,0.0,0.0870325690031623,-0.176815441,4.327858219,21734626556.0,4.591697941,-1395.109993,99798840000.0
DKC,Bán lẻ,1,1.0,0.472471155961924,0.101492537,0.316441632,30927375264.0,0.007399723,1805.594705,228854000.0
CPH,Bán lẻ,2,0.36395466564068063,0.24756935243013856,0.048871358,2.795512841,58136192414.0,0.022705305,2450.86158,1320000000.0
AST,Bán lẻ,3,0.3467308044273568,0.2414790987305975,0.237177448,0.380043296,618000000000.0,5.436684399,4497.307498,3361500000000.0
SAS,Bán lẻ,4,0.3236613815636457,0.23332188960066622,0.177905108,0.445315157,1640000000000.0,2.540084659,3158.329074,4378186968000.0
SVT,Bán lẻ,5,0.19056542162775345,0.18625995892472136,0.116541143,0.005555154,235000000000.0,0.80170837,1593.291533,190420758000.0
DGW,Bán lẻ,6,0.17289546964903293,0.18001197021439264,0.052774466,1.821822001,3010000000000.0,3.211054229,2026.689715,9671691385300.0
MWG,Bán lẻ,7,0.17063818554126362,0.17921380813459006,0.053001223,1.504759109,28121600000000.0,4.572935358,2540.182051,128598152987500.0
BTT,Bán lẻ,8,0.1688311519830473,0.1785748519402259,0.092921137,0.297693559,390000000000.0,1.259573096,3479.907512,490725000000.0
FRT,Bán lẻ,9,0.13511441298606602,0.16665281588399136,0.025795821,6.468840442,2120000000000.0,11.64902305,2398.175875,24693758825000.0
PSD,Bán lẻ,10,0.1269525354829773,0.16376682510394866,0.029590612,3.842619296,576000000000.0,1.421099831,1593.187062,829246304000.0
COM,Bán lẻ,11,0.12030163331714928,0.16141510611254237,0.055441451,0.116239171,434000000000.0,0.975437787,1903.327531,423618840000.0
PET,Bán lẻ,12,0.1195003480651827,0.1611317764682927,0.021630819,3.347268879,2340000000000.0,1.551552045,2048.518146,3456181558200.0005
CMV,Bán lẻ,13,0.08445411990734261,0.14873964104350557,0.019852027,1.04246797,246000000000.0,0.655177548,549.5586794,161224107840.0
THS,Bán lẻ,14,0.07575684596984707,0.14566433730541115,0.009121707,2.036230429,39309822972.0,0.946328352,362.9030993,37200000000.0
PIT,Bán lẻ,15,0.06602701011422552,0.14222392588536395,0.008274257,2.070455707,112000000000.0,0.919558002,187.5955331,103203552550.0
KGM,Bán lẻ,16,0.05713826769950513,0.13908092004567213,0.005050383,2.909184217,265000000000.0,0.546775184,205.8147386,142408000000.0
CEN,Bán lẻ,17,0.05288594616143186,0.1375773247334401,7.48e-05,0.024735372,219000000000.0,0.208505234,0.772281743,45596124000.0
TOP,Bán lẻ,18,0.05288594616143186,0.1375773247334401,0.001012362,0.000257904,162000000000.0,0.140431297,6.48972572,22815000000.0
HTM,Bán lẻ,19,0.050498676789901276,0.13673320064641376,-0.008781362,0.410160602,2210000000000.0,0.944073026,-124.60873,2046000000000.0
SBV,Bán lẻ,20,0.00024884521432317887,0.1189651625239431,-0.04102012,0.904519879,453000000000.0,0.477526272,-1292.445571,205248570000.0
