date,close_price
2021-10-25,48.17
2021-10-26,49.18
2021-10-27,49.84
2021-10-28,49.74
2021-10-29,49.18
2021-11-01,48.63
2021-11-02,48.78
2021-11-03,48.78
2021-11-04,48.73
2021-11-05,49.54
2021-11-08,49.44
2021-11-09,48.93
2021-11-10,49.23
2021-11-11,48.73
2021-11-12,49.74
2021-11-15,49.39
2021-11-16,49.89
2021-11-17,49.89
2021-11-18,48.98
2021-11-19,48.37
2021-11-22,48.22
2021-11-23,49.03
2021-11-24,49.69
2021-11-25,50.76
2021-11-26,50.2
2021-11-29,49.79
2021-11-30,49.29
2021-12-01,49.84
2021-12-02,49.34
2021-12-03,48.47
2021-12-06,47.97
2021-12-07,48.73
2021-12-08,48.52
2021-12-09,49.23
2021-12-10,48.63
2021-12-13,48.73
2021-12-14,48.58
2021-12-15,48.68
2021-12-16,48.47
2021-12-17,48.93
2021-12-20,48.63
2021-12-21,48.32
2021-12-22,48.22
2021-12-23,47.31
2021-12-24,47.61
2021-12-27,47.97
2021-12-28,47.97
2021-12-29,47.51
2021-12-30,47.51
2021-12-31,47.2
2022-01-04,47.46
2022-01-05,47.51
2022-01-06,47.46
2022-01-07,47.41
2022-01-10,46.7
2022-01-11,45.43
2022-01-12,45.48
2022-01-13,46.75
2022-01-14,46.34
2022-01-17,45.17
2022-01-18,44.72
2022-01-19,44.82
2022-01-20,45.07
2022-01-21,44.77
2022-01-24,43.3
2022-01-25,43.91
2022-01-26,43.65
2022-01-27,43.6
2022-01-28,45.43
2022-02-07,45.43
2022-02-08,45.99
2022-02-09,46.04
2022-02-10,46.7
2022-02-11,46.49
2022-02-14,46.19
2022-02-15,46.24
2022-02-16,46.34
2022-02-17,47.1
2022-02-18,46.8
2022-02-21,47.46
2022-02-22,47.15
2022-02-23,47.2
2022-02-24,46.7
2022-02-25,46.85
2022-02-28,47.36
2022-03-01,47.41
2022-03-02,47.26
2022-03-03,47.41
2022-03-04,47.46
2022-03-07,47.61
2022-03-08,48.12
2022-03-09,48.47
2022-03-10,48.02
2022-03-11,47.31
2022-03-14,46.6
2022-03-15,46.19
2022-03-16,46.49
2022-03-17,46.7
2022-03-18,48.27
2022-03-21,48.37
2022-03-22,48.93
2022-03-23,48.98
2022-03-24,48.73
2022-03-25,48.58
2022-03-28,49.79
2022-03-29,53.24
2022-03-30,53.8
2022-03-31,54.31
2022-04-01,56.34
2022-04-04,55.48
2022-04-05,55.33
2022-04-06,57.36
2022-04-07,57.51
2022-04-08,55.07
2022-04-12,55.73
2022-04-13,58.42
2022-04-14,59.18
2022-04-15,58.37
2022-04-18,58.63
2022-04-19,56.85
2022-04-20,56.85
2022-04-21,56.85
2022-04-22,56.39
2022-04-25,52.48
2022-04-26,52.94
2022-04-27,52.28
2022-04-28,53.55
2022-04-29,53.3
2022-05-04,53.04
2022-05-05,53.14
2022-05-06,50.86
2022-05-09,47.71
2022-05-10,49.95
2022-05-11,51.72
2022-05-12,48.52
2022-05-13,47.51
2022-05-16,47.31
2022-05-17,50.61
2022-05-18,49.59
2022-05-19,49.23
2022-05-20,49.49
2022-05-23,48.98
2022-05-24,49.84
2022-05-25,53.3
2022-05-26,53.6
2022-05-27,56.75
2022-05-30,56.49
2022-05-31,55.78
2022-06-01,56.75
2022-06-02,56.59
2022-06-03,57.86
2022-06-06,57.36
2022-06-07,58.68
2022-06-08,58.37
2022-06-09,58.52
2022-06-10,55.83
2022-06-13,52.98
2022-06-14,54.77
2022-06-15,55.63
2022-06-16,56.55
2022-06-17,56.55
2022-06-20,56.55
2022-06-21,54.77
2022-06-22,51.94
2022-06-23,52.55
2022-06-24,52.55
2022-06-27,53.17
2022-06-28,55.13
2022-06-29,55.32
2022-06-30,52.98
2022-07-01,54.09
2022-07-04,53.29
2022-07-05,52.49
2022-07-06,51.32
2022-07-07,51.08
2022-07-08,51.38
2022-07-11,50.89
2022-07-12,51.32
2022-07-13,50.71
2022-07-14,50.89
2022-07-15,50.52
2022-07-18,51.02
2022-07-19,51.02
2022-07-20,52.18
2022-07-21,52.25
2022-07-22,52.31
2022-07-25,52.49
2022-07-26,52.12
2022-07-27,52.37
2022-07-28,52.18
2022-07-29,51.32
2022-08-01,51.63
2022-08-02,52.25
2022-08-03,52.12
2022-08-04,52.92
2022-08-05,52.74
2022-08-08,52.86
2022-08-09,52.98
2022-08-10,52.86
2022-08-11,52.86
2022-08-12,53.17
2022-08-15,54.64
2022-08-16,54.52
2022-08-17,54.27
2022-08-18,54.27
2022-08-19,53.41
2022-08-22,53.35
2022-08-23,53.47
2022-08-24,53.6
2022-08-25,53.66
2022-08-26,54.22
2022-08-29,53.79
2022-08-30,53.72
2022-08-31,53.85
2022-09-05,53.6
2022-09-06,53.35
2022-09-07,52.23
2022-09-08,52.42
2022-09-09,52.42
2022-09-12,52.6
2022-09-13,52.6
2022-09-14,52.23
2022-09-15,52.04
2022-09-16,51.3
2022-09-19,51.67
2022-09-20,51.86
2022-09-21,51.17
2022-09-22,51.55
2022-09-23,51.24
2022-09-26,50.68
2022-09-27,50.05
2022-09-28,48.5
2022-09-29,47.88
2022-09-30,50.05
2022-10-03,47.88
2022-10-04,48.19
2022-10-05,48.75
2022-10-06,47.57
2022-10-07,46.01
2022-10-10,46.01
2022-10-11,44.15
2022-10-12,45.02
2022-10-13,45.39
2022-10-14,46.01
2022-10-17,45.89
2022-10-18,46.57
2022-10-19,46.95
2022-10-20,48.38
2022-10-21,45.95
2022-10-24,44.21
2022-10-25,45.52
2022-10-26,45.89
2022-10-27,47.13
2022-10-28,46.63
2022-10-31,47.01
2022-11-01,46.95
2022-11-02,46.01
2022-11-03,46.08
2022-11-04,45.33
2022-11-07,45.14
2022-11-08,45.58
2022-11-09,46.01
2022-11-10,45.39
2022-11-11,45.27
2022-11-14,44.02
2022-11-15,40.98
2022-11-16,43.09
2022-11-17,44.15
2022-11-18,44.46
2022-11-21,43.59
2022-11-22,43.84
2022-11-23,43.84
2022-11-24,43.84
2022-11-25,44.77
2022-11-28,46.2
2022-11-29,46.2
2022-11-30,46.39
2022-12-01,46.45
2022-12-02,48.13
2022-12-05,48.69
2022-12-06,47.26
2022-12-07,47.57
2022-12-08,47.88
2022-12-09,48.5
2022-12-12,47.88
2022-12-13,48.0
2022-12-14,47.44
2022-12-15,48.31
2022-12-16,48.44
2022-12-19,47.63
2022-12-20,47.63
2022-12-21,48.0
2022-12-22,48.0
2022-12-23,48.5
2022-12-26,47.51
2022-12-27,47.57
2022-12-28,47.69
2022-12-29,47.38
2022-12-30,47.82
2023-01-03,49.74
2023-01-04,49.74
2023-01-05,50.12
2023-01-06,49.93
2023-01-09,49.93
2023-01-10,49.99
2023-01-11,50.3
2023-01-12,50.18
2023-01-13,49.74
2023-01-16,50.24
2023-01-17,50.99
2023-01-18,51.86
2023-01-19,52.17
2023-01-27,52.23
2023-01-30,52.04
2023-01-31,51.92
2023-02-01,50.99
2023-02-02,50.93
2023-02-03,49.81
2023-02-06,50.05
2023-02-07,50.18
2023-02-08,50.49
2023-02-09,50.18
2023-02-10,50.18
2023-02-13,50.18
2023-02-14,50.24
2023-02-15,50.74
2023-02-16,50.74
2023-02-17,50.74
2023-02-20,51.49
2023-02-21,51.49
2023-02-22,50.86
2023-02-23,50.61
2023-02-24,50.24
2023-02-27,49.93
2023-02-28,50.05
2023-03-01,50.05
2023-03-02,49.74
2023-03-03,48.81
2023-03-06,48.62
2023-03-07,49.0
2023-03-08,49.43
2023-03-09,50.12
2023-03-10,49.43
2023-03-13,49.06
2023-03-14,48.94
2023-03-15,50.05
2023-03-16,49.25
2023-03-17,49.12
2023-03-20,48.25
2023-03-21,48.56
2023-03-22,48.81
2023-03-23,48.5
2023-03-24,48.87
2023-03-27,49.18
2023-03-28,49.25
2023-03-29,49.12
2023-03-30,49.18
2023-03-31,49.18
2023-04-03,50.3
2023-04-04,50.05
2023-04-05,50.12
2023-04-06,49.93
2023-04-07,50.05
2023-04-10,49.93
2023-04-11,49.93
2023-04-12,49.93
2023-04-13,49.5
2023-04-14,49.5
2023-04-17,49.5
2023-04-18,49.37
2023-04-19,49.31
2023-04-20,49.37
2023-04-21,49.31
2023-04-24,49.18
2023-04-25,48.75
2023-04-26,48.69
2023-04-27,48.69
2023-04-28,48.19
2023-05-04,48.81
2023-05-05,48.75
2023-05-08,48.81
2023-05-09,49.06
2023-05-10,49.12
2023-05-11,49.18
2023-05-12,50.05
2023-05-15,50.37
2023-05-16,50.68
2023-05-17,50.68
2023-05-18,51.55
2023-05-19,51.49
2023-05-22,51.3
2023-05-23,50.99
2023-05-24,50.55
2023-05-25,51.73
2023-05-26,51.67
2023-05-29,51.67
2023-05-30,52.23
2023-05-31,52.29
2023-06-01,51.92
2023-06-02,52.11
2023-06-05,52.85
2023-06-06,53.04
2023-06-07,52.85
2023-06-08,51.98
2023-06-09,52.6
